iter	Passed	Remaining
0	147	147082
1	150	74905
2	152	50831
3	155	38609
4	157	31421
5	160	26604
6	163	23188
7	165	20510
8	167	18389
9	168	16660
10	170	15311
11	171	14147
12	173	13147
13	174	12280
14	175	11509
15	176	10824
16	176	10220
17	177	9679
18	178	9193
19	178	8755
20	179	8361
21	180	8002
22	180	7672
23	181	7372
24	182	7099
25	182	6843
26	183	6604
27	183	6384
28	184	6189
29	185	6011
30	186	5841
31	187	5673
32	188	5518
33	188	5368
34	189	5227
35	190	5094
36	190	4967
37	191	4848
38	192	4734
39	192	4626
40	193	4524
41	194	4427
42	194	4334
43	195	4246
44	196	4163
45	196	4083
46	197	4005
47	198	3930
48	199	3864
49	200	3805
50	201	3744
51	201	3681
52	202	3625
53	203	3566
54	204	3509
55	204	3454
56	205	3400
57	206	3349
58	206	3299
59	207	3250
60	208	3204
61	208	3160
62	209	3118
63	210	3076
64	210	3035
65	211	2995
66	212	2956
67	212	2918
68	213	2886
69	214	2855
70	215	2824
71	216	2792
72	217	2762
73	218	2730
74	218	2699
75	219	2669
76	220	2639
77	220	2610
78	221	2581
79	222	2553
80	222	2526
81	223	2503
82	224	2475
83	224	2452
84	225	2427
85	226	2403
86	226	2380
87	227	2357
88	228	2336
89	229	2319
90	230	2301
91	231	2281
92	232	2262
93	232	2242
94	233	2222
95	233	2203
96	234	2184
97	235	2165
98	235	2147
99	236	2129
100	237	2112
101	238	2095
102	238	2078
103	239	2061
104	239	2045
105	240	2029
106	241	2013
107	241	1998
108	242	1985
109	244	1974
110	245	1964
111	246	1953
112	247	1942
113	248	1928
114	248	1914
115	249	1901
116	249	1886
117	250	1873
118	251	1861
119	252	1848
120	252	1835
121	253	1822
122	253	1810
123	254	1798
124	255	1787
125	256	1776
126	256	1763
127	257	1754
128	258	1746
129	259	1738
130	260	1728
131	261	1720
132	262	1710
133	263	1700
134	263	1690
135	264	1679
136	265	1670
137	265	1661
138	266	1651
139	267	1642
140	268	1633
141	268	1622
142	269	1614
143	270	1605
144	270	1596
145	271	1588
146	272	1581
147	273	1575
148	274	1567
149	275	1560
150	276	1552
151	276	1544
152	277	1535
153	278	1528
154	279	1521
155	279	1514
156	280	1506
157	281	1499
158	282	1493
159	283	1486
160	283	1479
161	284	1471
162	285	1464
163	285	1457
164	286	1452
165	288	1447
166	289	1442
167	290	1437
168	291	1431
169	291	1425
170	292	1419
171	293	1412
172	294	1406
173	294	1399
174	295	1393
175	296	1387
176	296	1380
177	297	1373
178	298	1367
179	298	1361
180	299	1354
181	300	1348
182	300	1343
183	302	1339
184	303	1335
185	304	1330
186	305	1327
187	306	1322
188	306	1317
189	307	1311
190	308	1305
191	308	1300
192	309	1294
193	310	1288
194	310	1283
195	311	1277
196	312	1272
197	312	1266
198	313	1261
199	313	1255
200	314	1250
201	315	1246
202	316	1242
203	317	1239
204	318	1235
205	319	1233
206	321	1230
207	322	1226
208	322	1221
209	323	1216
210	324	1212
211	325	1208
212	325	1203
213	326	1199
214	327	1194
215	327	1190
216	328	1185
217	329	1181
218	330	1178
219	331	1175
220	332	1171
221	333	1168
222	334	1165
223	335	1162
224	336	1158
225	337	1155
226	338	1152
227	339	1149
228	340	1146
229	341	1143
230	342	1139
231	343	1135
232	344	1133
233	345	1129
234	345	1126
235	346	1123
236	347	1120
237	349	1118
238	350	1114
239	351	1112
240	352	1110
241	353	1107
242	354	1104
243	355	1101
244	356	1097
245	357	1094
246	358	1092
247	359	1089
248	360	1087
249	361	1085
250	362	1082
251	363	1079
252	364	1076
253	365	1072
254	365	1068
255	366	1065
256	367	1061
257	367	1058
258	368	1055
259	369	1052
260	370	1049
261	371	1046
262	372	1045
263	374	1043
264	375	1041
265	376	1038
266	377	1035
267	378	1032
268	378	1029
269	379	1026
270	380	1023
271	381	1019
272	381	1016
273	382	1013
274	382	1009
275	383	1006
276	384	1003
277	384	999
278	385	996
279	386	993
280	386	990
281	388	988
282	389	986
283	390	984
284	391	981
285	391	978
286	392	975
287	393	972
288	393	969
289	394	965
290	395	962
291	395	959
292	396	956
293	397	953
294	397	950
295	398	947
296	399	944
297	399	941
298	400	938
299	401	935
300	402	934
301	403	932
302	404	930
303	405	928
304	406	926
305	407	924
306	408	921
307	409	918
308	409	916
309	410	913
310	411	911
311	412	908
312	412	905
313	413	903
314	414	900
315	414	898
316	415	895
317	417	894
318	417	892
319	419	890
320	420	889
321	421	887
322	422	884
323	423	882
324	424	880
325	425	879
326	426	877
327	427	875
328	428	873
329	429	871
330	431	871
331	432	870
332	433	869
333	435	867
334	436	865
335	437	863
336	438	861
337	438	859
338	440	859
339	442	859
340	444	859
341	446	859
342	448	859
343	451	861
344	453	861
345	456	862
346	457	861
347	459	860
348	460	859
349	461	857
350	462	855
351	464	854
352	465	853
353	466	851
354	467	850
355	468	848
356	469	846
357	470	844
358	471	842
359	472	840
360	473	838
361	474	836
362	475	834
363	476	832
364	477	831
365	479	829
366	479	827
367	481	826
368	481	823
369	482	821
370	483	819
371	485	818
372	485	816
373	487	816
374	489	815
375	490	813
376	491	812
377	492	810
378	494	809
379	495	809
380	497	808
381	498	806
